id,lat,lon
13078444436,38.9702,-94.6386
13078444437,38.9643,-94.6396
13078444438,38.9643,-94.6396
13078471914,38.9729,-94.6378
13078471915,38.973,-94.6376
13078471916,38.9729,-94.6378
13078471917,38.973,-94.6376
13078491634,39.0221,-94.6635
13078491635,39.0224,-94.6636
13078491636,39.0224,-94.6638
13078491637,39.0221,-94.6638
13079957929,38.1589,-98.6016
13089202770,39.1175,-94.7387
13093962355,37.1554,-97.5935
13095335819,39.0438,-95.7584
13103957476,38.9931,-94.7052
13103957477,38.9928,-94.7053
13103957478,38.993,-94.7147
13103957479,38.9931,-94.7142
13103957480,38.9927,-94.7235
13103957481,38.993,-94.7236
13103957482,38.9855,-94.7238
13112793597,39.1677,-94.6018
13115251669,37.6863,-97.2466
13115253922,37.6857,-97.2453
13115257316,37.6866,-97.2529
13115261810,37.6859,-97.2454
13115273046,37.6866,-97.2654
13115280624,37.6863,-97.2499
13115287905,37.6864,-97.2696
13125291886,37.6864,-97.2992
13125337603,37.6803,-97.2987
13125352054,37.6862,-97.2988
13133930783,39.087,-94.8815
13133974312,39.0872,-94.8821
13133978104,39.0869,-94.882
13136596231,37.7671,-97.3363
13140460043,37.9995,-98.748
13140477802,37.8241,-98.7427
13140966288,38.9101,-101.582
13141930158,36.9995,-95.9275
13142675640,37.6657,-97.226
13147850327,37.6778,-97.299
13147850429,37.6803,-97.2803
13147863053,38.015,-97.9403
13147867496,37.6936,-97.2624
13147874004,37.6936,-97.2807
13147889617,37.6801,-97.2259
13153799153,38.1729,-97.4456
13153814620,37.9148,-97.3266
13157141825,38.9325,-94.7545
13157197203,38.9318,-94.7551
13157918890,38.9577,-94.645
13157935698,38.9577,-94.645
13157935699,38.9577,-94.645
13157941835,38.9553,-94.6664
13160598566,38.809,-94.9091
13165200207,39.1928,-96.5367
13165212446,39.1927,-96.5356
13165239373,39.1756,-96.5574
13165244808,39.2479,-96.3148
13165245441,39.1918,-96.6412
13165245442,39.1744,-96.5521
13167826460,38.4918,-94.6022
13167852361,37.7089,-97.3659
13168472273,37.6691,-97.4284
13168495502,37.6763,-97.3893
13171658940,37.6996,-97.3202
13171666160,37.6939,-97.2989
13171682187,37.7009,-97.3082
13171685717,37.6854,-97.3437
13171697233,37.6861,-97.3171
13171698943,37.6936,-97.2991
13171698944,37.6939,-97.2723
13173856068,37.7225,-97.3419
13173902377,37.6948,-97.379
13173912036,37.6949,-97.3905
13173912052,37.7229,-97.3538
13173914727,37.6942,-97.4261
13173923975,37.7225,-97.3565
13173927645,37.7087,-97.3895
13173933501,37.69,-97.3895
13173943118,37.7227,-97.3447
13173957938,37.7226,-97.3481
13173958620,37.7227,-97.3359
13173960051,37.7225,-97.3447
13173967059,37.7225,-97.3379
13175229682,39.1284,-94.7573
13175236854,39.1284,-94.7493
13175261751,39.1284,-94.7525
13175273305,39.1286,-94.7463
